document_id,file_path,file_name,extension,file_size_bytes,modified_time,detected_loader,load_status,character_count,token_estimate,document_title_guess,possible_domain_hints
doc_0001,C:\Work\Answer-Aware-parser\sample_corpus\dev\003755794bbbbcffd0667b9600aeb0be.json,003755794bbbbcffd0667b9600aeb0be.json,.json,84473,2026-07-01T23:04:12,json,loaded,143815,35954,{,"[""general""]"
doc_0002,C:\Work\Answer-Aware-parser\sample_corpus\dev\003755794bbbbcffd0667b9600aeb0be.pdf,003755794bbbbcffd0667b9600aeb0be.pdf,.pdf,1515862,2026-07-01T23:04:16,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0003,C:\Work\Answer-Aware-parser\sample_corpus\dev\0069c940cfca223b2789cbbcc846b038.json,0069c940cfca223b2789cbbcc846b038.json,.json,68749,2026-07-01T23:04:16,json,loaded,120863,30216,{,"[""general""]"
doc_0004,C:\Work\Answer-Aware-parser\sample_corpus\dev\0069c940cfca223b2789cbbcc846b038.pdf,0069c940cfca223b2789cbbcc846b038.pdf,.pdf,901638,2026-07-01T23:04:38,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0005,C:\Work\Answer-Aware-parser\sample_corpus\dev\0112773c37b09547b87270583b651784.json,0112773c37b09547b87270583b651784.json,.json,94464,2026-07-01T23:04:37,json,loaded,165394,41348,{,"[""general""]"
doc_0006,C:\Work\Answer-Aware-parser\sample_corpus\dev\0112773c37b09547b87270583b651784.pdf,0112773c37b09547b87270583b651784.pdf,.pdf,31607,2026-07-01T23:04:38,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0007,C:\Work\Answer-Aware-parser\sample_corpus\dev\012e9f2fb194f89501f65735bc4aca62.json,012e9f2fb194f89501f65735bc4aca62.json,.json,122231,2026-07-01T23:04:41,json,loaded,213071,53268,{,"[""general""]"
doc_0008,C:\Work\Answer-Aware-parser\sample_corpus\dev\012e9f2fb194f89501f65735bc4aca62.pdf,012e9f2fb194f89501f65735bc4aca62.pdf,.pdf,46706,2026-07-01T23:04:13,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0009,C:\Work\Answer-Aware-parser\sample_corpus\dev\018ba3b4adee47eef3555fc300cbde94.json,018ba3b4adee47eef3555fc300cbde94.json,.json,143769,2026-07-01T23:04:19,json,loaded,245879,61470,{,"[""general""]"
doc_0010,C:\Work\Answer-Aware-parser\sample_corpus\dev\018ba3b4adee47eef3555fc300cbde94.pdf,018ba3b4adee47eef3555fc300cbde94.pdf,.pdf,63376,2026-07-01T23:04:38,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0011,C:\Work\Answer-Aware-parser\sample_corpus\dev\01cbb28d73f2117a2bf155814a46806c.json,01cbb28d73f2117a2bf155814a46806c.json,.json,73023,2026-07-01T23:04:40,json,loaded,127966,31992,{,"[""general""]"
doc_0012,C:\Work\Answer-Aware-parser\sample_corpus\dev\01cbb28d73f2117a2bf155814a46806c.pdf,01cbb28d73f2117a2bf155814a46806c.pdf,.pdf,103205,2026-07-01T23:04:25,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0013,C:\Work\Answer-Aware-parser\sample_corpus\dev\028ee763c1f90a74df4736ce7b5ffba4.json,028ee763c1f90a74df4736ce7b5ffba4.json,.json,75513,2026-07-01T23:04:30,json,loaded,134157,33539,{,"[""general""]"
doc_0014,C:\Work\Answer-Aware-parser\sample_corpus\dev\028ee763c1f90a74df4736ce7b5ffba4.pdf,028ee763c1f90a74df4736ce7b5ffba4.pdf,.pdf,92878,2026-07-01T23:04:34,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0015,C:\Work\Answer-Aware-parser\sample_corpus\dev\0431c0120abe739c6a106cce515f3108.json,0431c0120abe739c6a106cce515f3108.json,.json,35091,2026-07-01T23:04:23,json,loaded,58013,14503,{,"[""general""]"
doc_0016,C:\Work\Answer-Aware-parser\sample_corpus\dev\0431c0120abe739c6a106cce515f3108.pdf,0431c0120abe739c6a106cce515f3108.pdf,.pdf,2526715,2026-07-01T23:04:33,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0017,C:\Work\Answer-Aware-parser\sample_corpus\dev\04517855d313cc5e0e3fa1b43dcfd99c.json,04517855d313cc5e0e3fa1b43dcfd99c.json,.json,67532,2026-07-01T23:04:39,json,loaded,112662,28166,{,"[""general""]"
doc_0018,C:\Work\Answer-Aware-parser\sample_corpus\dev\04517855d313cc5e0e3fa1b43dcfd99c.pdf,04517855d313cc5e0e3fa1b43dcfd99c.pdf,.pdf,832179,2026-07-01T23:04:40,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0019,C:\Work\Answer-Aware-parser\sample_corpus\dev\04aea9b8928c7258bd119ad0d4ac68be.json,04aea9b8928c7258bd119ad0d4ac68be.json,.json,91454,2026-07-01T23:04:30,json,loaded,166112,41528,{,"[""finance""]"
doc_0020,C:\Work\Answer-Aware-parser\sample_corpus\dev\04aea9b8928c7258bd119ad0d4ac68be.pdf,04aea9b8928c7258bd119ad0d4ac68be.pdf,.pdf,99862,2026-07-01T23:04:30,pdf,empty,0,0,%PDF-1.3,"[""general""]"
doc_0021,C:\Work\Answer-Aware-parser\sample_corpus\dev\06c4eb9cb8d88350a6ff50a7fccd996a.json,06c4eb9cb8d88350a6ff50a7fccd996a.json,.json,100724,2026-07-01T23:04:31,json,loaded,168454,42114,{,"[""general""]"
doc_0022,C:\Work\Answer-Aware-parser\sample_corpus\dev\06c4eb9cb8d88350a6ff50a7fccd996a.pdf,06c4eb9cb8d88350a6ff50a7fccd996a.pdf,.pdf,50279,2026-07-01T23:04:28,pdf,empty,0,0,%PDF-1.3,"[""general""]"
