prototype_a,name_a,prototype_b,name_b,intent_similarity,evidence_role_jaccard,slot_jaccard,answer_shape_jaccard,fragment_overlap,class_overlap,similarity
qproto_005_variance_explanation,variance_explanation(metric),qproto_010_variance_explanation,variance_explanation(metric),1.0,0.5,1.0,1.0,0.01,1.0,0.801
qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",1.0,0.667,0.667,1.0,0.2,1.0,0.7867
qproto_013_approval_lookup,"approval_lookup(region, transaction_type)",qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",1.0,0.667,0.667,1.0,0.0,1.0,0.7667
qproto_002_metric_lookup,metric_lookup(metric),qproto_009_metric_lookup,"metric_lookup(metric, period)",1.0,0.667,0.5,1.0,0.013,1.0,0.7347
qproto_001_threshold_lookup,threshold_lookup(amount_threshold),qproto_008_threshold_lookup,"threshold_lookup(amount_threshold, region)",1.0,0.5,0.5,1.0,0.0,1.0,0.7
qproto_013_approval_lookup,"approval_lookup(region, transaction_type)",qproto_014_approval_lookup,approval_lookup(transaction_type),1.0,0.5,0.5,1.0,0.0,1.0,0.7
qproto_014_approval_lookup,approval_lookup(transaction_type),qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",1.0,0.5,0.5,1.0,0.0,1.0,0.7
qproto_013_approval_lookup,"approval_lookup(region, transaction_type)",qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",1.0,0.333,0.333,1.0,0.0,1.0,0.6333
qproto_014_approval_lookup,approval_lookup(transaction_type),qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",1.0,0.333,0.333,1.0,0.0,1.0,0.6333
qproto_008_threshold_lookup,"threshold_lookup(amount_threshold, region)",qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",0.0,0.667,0.667,0.5,0.0,0.0,0.3417
qproto_001_threshold_lookup,threshold_lookup(amount_threshold),qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",0.0,0.5,0.5,0.5,0.004,0.0,0.2754
qproto_002_metric_lookup,metric_lookup(metric),qproto_005_variance_explanation,variance_explanation(metric),0.0,0.0,1.0,0.333,0.076,0.0,0.2576
qproto_002_metric_lookup,metric_lookup(metric),qproto_010_variance_explanation,variance_explanation(metric),0.0,0.0,1.0,0.333,0.051,0.0,0.2551
qproto_003_rule_lookup,rule_lookup(subject),qproto_004_exception_lookup,exception_lookup(condition),0.0,0.333,0.0,0.5,0.059,1.0,0.2475
qproto_001_threshold_lookup,threshold_lookup(amount_threshold),qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",0.0,0.333,0.333,0.5,0.0,0.0,0.2083
qproto_008_threshold_lookup,"threshold_lookup(amount_threshold, region)",qproto_013_approval_lookup,"approval_lookup(region, transaction_type)",0.0,0.333,0.333,0.5,0.0,0.0,0.2083
qproto_008_threshold_lookup,"threshold_lookup(amount_threshold, region)",qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",0.0,0.333,0.333,0.5,0.0,0.0,0.2083
qproto_003_rule_lookup,rule_lookup(subject),qproto_012_sla_lookup,sla_lookup(step),0.0,0.0,0.0,0.5,0.025,1.0,0.1775
qproto_004_exception_lookup,exception_lookup(condition),qproto_012_sla_lookup,sla_lookup(step),0.0,0.0,0.0,0.5,0.009,1.0,0.1759
qproto_012_sla_lookup,sla_lookup(step),qproto_016_escalation_lookup,escalation_lookup(trigger),0.0,0.0,0.0,0.2,0.3,1.0,0.16
qproto_005_variance_explanation,variance_explanation(metric),qproto_009_metric_lookup,"metric_lookup(metric, period)",0.0,0.0,0.5,0.333,0.03,0.0,0.153
qproto_009_metric_lookup,"metric_lookup(metric, period)",qproto_010_variance_explanation,variance_explanation(metric),0.0,0.0,0.5,0.333,0.0,0.0,0.15
qproto_006_applicability_check,applicability_check(audience),qproto_007_effective_date_lookup,effective_date_lookup(document),0.0,0.0,0.0,0.25,0.088,1.0,0.1463
qproto_007_effective_date_lookup,effective_date_lookup(document),qproto_011_owner_lookup,owner_lookup(object),0.0,0.0,0.0,0.25,0.074,1.0,0.1449
qproto_003_rule_lookup,rule_lookup(subject),qproto_007_effective_date_lookup,effective_date_lookup(document),0.0,0.0,0.0,0.25,0.01,1.0,0.1385
qproto_004_exception_lookup,exception_lookup(condition),qproto_007_effective_date_lookup,effective_date_lookup(document),0.0,0.0,0.0,0.25,0.007,1.0,0.1382
qproto_007_effective_date_lookup,effective_date_lookup(document),qproto_012_sla_lookup,sla_lookup(step),0.0,0.0,0.0,0.25,0.0,1.0,0.1375
qproto_007_effective_date_lookup,effective_date_lookup(document),qproto_016_escalation_lookup,escalation_lookup(trigger),0.0,0.0,0.0,0.25,0.0,1.0,0.1375
