source,target,edge_type,weight
qproto_002_metric_lookup,frag_00004,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00005,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00006,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00025,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00027,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00028,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00029,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00034,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00037,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00041,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00043,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00047,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00048,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00049,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00066,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00071,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00072,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00072,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00084,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00084,prototype_fragment,0.85
qproto_001_threshold_lookup,frag_00085,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_00092,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00092,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00099,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00104,prototype_fragment,0.8
qproto_007_effective_date_lookup,frag_00110,prototype_fragment,0.85
qproto_002_metric_lookup,frag_00125,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00129,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00131,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00131,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00133,prototype_fragment,0.62
qproto_004_exception_lookup,frag_00137,prototype_fragment,0.72
