tree_id,fragment_id,class_id,selected_candidate_type,optimized_for,expected_path_length,expected_context_tokens,trace_clarity,citation_locality,total_cost,objective_J
tree_frag_00004_v1,frag_00004,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00005_v1,frag_00005,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00006_v1,frag_00006,class_003,question_intent_tree,"[""metric_lookup""]",2.0,21.0,0.75,1.0,0.2227,-0.0323
tree_frag_00025_v1,frag_00025,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00027_v1,frag_00027,class_001,question_intent_tree,"[""exception_lookup""]",2.0,39.0,0.75,1.0,0.2407,-0.0143
tree_frag_00028_v1,frag_00028,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00029_v1,frag_00029,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00034_v1,frag_00034,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00037_v1,frag_00037,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00041_v1,frag_00041,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00043_v1,frag_00043,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00047_v1,frag_00047,class_001,question_intent_tree,"[""exception_lookup""]",2.0,52.0,0.75,1.0,0.2537,-0.0013
tree_frag_00048_v1,frag_00048,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00049_v1,frag_00049,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00066_v1,frag_00066,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00071_v1,frag_00071,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00072_v1,frag_00072,class_001,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup""]",1.559,23.5,0.75,1.0,0.2123,-0.0352
tree_frag_00084_v1,frag_00084,class_005,hybrid_optimized_tree,"[""effective_date_lookup"", ""threshold_lookup""]",1.0,10.4,0.857,1.0,0.1138,-0.1777
tree_frag_00085_v1,frag_00085,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00092_v1,frag_00092,class_005,question_intent_tree,"[""metric_lookup"", ""threshold_lookup""]",2.0,21.0,0.75,1.0,0.2302,-0.0023
