fragment_id,class_id,class_name
frag_00005,class_001,Policy-like Fragments
frag_00025,class_001,Policy-like Fragments
frag_00027,class_001,Policy-like Fragments
frag_00028,class_001,Policy-like Fragments
frag_00041,class_001,Policy-like Fragments
frag_00047,class_001,Policy-like Fragments
frag_00066,class_001,Policy-like Fragments
frag_00071,class_001,Policy-like Fragments
frag_00072,class_001,Policy-like Fragments
frag_00084,class_001,Policy-like Fragments
frag_00110,class_001,Policy-like Fragments
frag_00129,class_001,Policy-like Fragments
frag_00131,class_001,Policy-like Fragments
frag_00133,class_001,Policy-like Fragments
frag_00137,class_001,Policy-like Fragments
frag_00139,class_001,Policy-like Fragments
frag_00174,class_001,Policy-like Fragments
frag_00196,class_001,Policy-like Fragments
frag_00198,class_001,Policy-like Fragments
frag_00200,class_001,Policy-like Fragments
frag_00204,class_001,Policy-like Fragments
frag_00227,class_001,Policy-like Fragments
frag_00228,class_001,Policy-like Fragments
frag_00247,class_001,Policy-like Fragments
frag_00274,class_001,Policy-like Fragments
frag_00297,class_001,Policy-like Fragments
frag_00309,class_001,Policy-like Fragments
frag_00318,class_001,Policy-like Fragments
frag_00326,class_001,Policy-like Fragments
frag_00349,class_001,Policy-like Fragments
frag_00389,class_001,Policy-like Fragments
frag_00390,class_001,Policy-like Fragments
frag_00398,class_001,Policy-like Fragments
frag_00408,class_001,Policy-like Fragments
frag_00409,class_001,Policy-like Fragments
frag_00419,class_001,Policy-like Fragments
frag_00422,class_001,Policy-like Fragments
frag_00425,class_001,Policy-like Fragments
frag_00426,class_001,Policy-like Fragments
frag_00437,class_001,Policy-like Fragments
frag_00468,class_001,Policy-like Fragments
frag_00470,class_001,Policy-like Fragments
frag_00475,class_001,Policy-like Fragments
frag_00476,class_001,Policy-like Fragments
frag_00479,class_001,Policy-like Fragments
frag_00480,class_001,Policy-like Fragments
frag_00533,class_001,Policy-like Fragments
frag_00540,class_001,Policy-like Fragments
frag_00553,class_001,Policy-like Fragments
frag_00554,class_001,Policy-like Fragments
frag_00579,class_001,Policy-like Fragments
frag_00581,class_001,Policy-like Fragments
frag_00585,class_001,Policy-like Fragments
frag_00586,class_001,Policy-like Fragments
frag_00588,class_001,Policy-like Fragments
frag_00590,class_001,Policy-like Fragments
frag_00592,class_001,Policy-like Fragments
frag_00618,class_001,Policy-like Fragments
frag_00619,class_001,Policy-like Fragments
frag_00622,class_001,Policy-like Fragments
frag_00624,class_001,Policy-like Fragments
frag_00628,class_001,Policy-like Fragments
frag_00635,class_001,Policy-like Fragments
frag_00648,class_001,Policy-like Fragments
frag_00656,class_001,Policy-like Fragments
frag_00661,class_001,Policy-like Fragments
frag_00664,class_001,Policy-like Fragments
frag_00666,class_001,Policy-like Fragments
frag_00691,class_001,Policy-like Fragments
frag_00697,class_001,Policy-like Fragments
frag_00701,class_001,Policy-like Fragments
frag_00711,class_001,Policy-like Fragments
frag_00713,class_001,Policy-like Fragments
frag_00714,class_001,Policy-like Fragments
frag_00716,class_001,Policy-like Fragments
frag_00738,class_001,Policy-like Fragments
frag_00797,class_001,Policy-like Fragments
frag_00822,class_001,Policy-like Fragments
frag_00826,class_001,Policy-like Fragments
frag_00832,class_001,Policy-like Fragments
frag_00833,class_001,Policy-like Fragments
frag_00834,class_001,Policy-like Fragments
frag_00835,class_001,Policy-like Fragments
frag_00836,class_001,Policy-like Fragments
frag_00839,class_001,Policy-like Fragments
frag_00851,class_001,Policy-like Fragments
frag_00854,class_001,Policy-like Fragments
frag_00877,class_001,Policy-like Fragments
frag_00880,class_001,Policy-like Fragments
frag_00881,class_001,Policy-like Fragments
frag_00931,class_001,Policy-like Fragments
frag_00933,class_001,Policy-like Fragments
frag_00934,class_001,Policy-like Fragments
frag_00936,class_001,Policy-like Fragments
frag_00940,class_001,Policy-like Fragments
