prototype_id,canonical_name,intent,slots,required_evidence_roles,answer_shape,support_fragment_count,support_document_count,example_raw_questions
qproto_001_threshold_lookup,threshold_lookup(amount_threshold),threshold_lookup,"[""amount_threshold""]","[""amount_threshold""]","[""threshold"", ""condition"", ""source""]",234,123,"[""What is the threshold of $2,046,000 and what condition applies?"", ""What is the threshold of $1,400,000 and what condition applies?"", ""What is the threshold of $1,792,000 and what condition applies?"", ""What is the threshold of $62,028,117 and what condition applies?"", ""What is the threshold of $29.66 and what condition applies?"", ""What is the threshold of $ 1,264 and what condition applies?"", ""What is the threshold of $40,000 and what condition applies?"", ""What is the threshold of $2.00 and what condition applies?""]"
qproto_002_metric_lookup,metric_lookup(metric),metric_lookup,"[""metric""]","[""metric"", ""value""]","[""metric"", ""value"", ""period"", ""source""]",212,105,"[""What was revenue?"", ""What was Revenue?"", ""What was forecast?"", ""What was operating expenses?"", ""What was Gross margin?"", ""What was Operating expenses?"", ""What was Gross Margin?"", ""What was gross margin?""]"
qproto_003_rule_lookup,rule_lookup(subject),rule_lookup,"[""subject""]","[""condition"", ""rule""]","[""rule"", ""condition"", ""source""]",154,73,"[""What rule applies to These APMs?"", ""What rule applies to Participants?"", ""What rule applies to Significant management judgment?"", ""What rule applies to Although we believe our underlying assu…?"", ""What rule applies to the subject?"", ""What rule applies to The objective?"", ""What rule applies to A reassessment of the credit rating for…?"", ""What rule applies to We perform ongoing credit evaluations o…?""]"
qproto_004_exception_lookup,exception_lookup(condition),exception_lookup,"[""condition""]","[""condition"", ""exception""]","[""exception"", ""condition"", ""source""]",99,66,"[""What is the exception to this rule?""]"
qproto_005_variance_explanation,variance_explanation(metric),variance_explanation,"[""metric""]","[""variance"", ""variance_driver""]","[""variance"", ""driver"", ""period"", ""source""]",85,37,"[""What drove the variance and by how much?""]"
qproto_006_applicability_check,applicability_check(audience),applicability_check,"[""audience""]","[""audience"", ""scope""]","[""scope"", ""audience"", ""source""]",63,38,"[""Does this apply to the stated audience?"", ""Does this apply to its Chief Executive Officer, Chief Financial Officer and Ch…?"", ""Does this apply to all employees who travel for business purposes?"", ""Does this apply to all new vendor engagements?""]"
qproto_007_effective_date_lookup,effective_date_lookup(document),effective_date_lookup,"[""document""]","[""effective_date""]","[""effective_date"", ""source""]",48,35,"[""When did this document become effective?""]"
qproto_008_threshold_lookup,"threshold_lookup(amount_threshold, region)",threshold_lookup,"[""amount_threshold"", ""region""]","[""amount_threshold"", ""region""]","[""threshold"", ""condition"", ""source""]",39,33,"[""What is the threshold of $64,000 in Global and what condition applies?"", ""What is the threshold of $ 5.99 in Global and what condition applies?"", ""What is the threshold of $000 in US and what condition applies?"", ""What is the threshold of $ 91.30 in Global and what condition applies?"", ""What is the threshold of $328.8 in Global and what condition applies?"", ""What is the threshold of $62,899 in Global and what condition applies?"", ""What is the threshold of $862 in us and what condition applies?"", ""What is the threshold of $2.9 million in United States and what condition applies?""]"
qproto_009_metric_lookup,"metric_lookup(metric, period)",metric_lookup,"[""metric"", ""period""]","[""metric"", ""period"", ""value""]","[""metric"", ""value"", ""period"", ""source""]",17,6,"[""What was Gross margin in full year 2018?"", ""What was gross margin in full year 2017?"", ""What was Revenue in FY 2019?"", ""What was revenue in FY 2019?"", ""What was operating expenses in Q4 2019?"", ""What was revenue in Q4 2018?"", ""What was revenue in Q4 2019?"", ""What was Revenue in Q2 2026?""]"
qproto_010_variance_explanation,variance_explanation(metric),variance_explanation,"[""metric""]","[""variance""]","[""variance"", ""driver"", ""period"", ""source""]",15,9,"[""What drove the variance and by how much?""]"
qproto_011_owner_lookup,owner_lookup(object),owner_lookup,"[""object""]","[""owner""]","[""owner"", ""object"", ""source""]",10,8,"[""Who owns this item?"", ""Who owns this policy?"", ""Who owns this SOP?""]"
qproto_012_sla_lookup,sla_lookup(step),sla_lookup,"[""step""]","[""sla""]","[""sla"", ""condition"", ""source""]",9,6,"[""What is the SLA for this step?""]"
qproto_013_approval_lookup,"approval_lookup(region, transaction_type)",approval_lookup,"[""region"", ""transaction_type""]","[""approver"", ""region""]","[""approver"", ""condition"", ""source""]",8,1,"[""Who approves purchases in India?"", ""Who approves purchases in United States?"", ""Who approves purchases in Global?"", ""Who approves expenses in India?"", ""Who approves transactions in United States?"", ""Who approves transactions in Global?""]"
qproto_014_approval_lookup,approval_lookup(transaction_type),approval_lookup,"[""transaction_type""]","[""approver""]","[""approver"", ""condition"", ""source""]",6,4,"[""Who approves transactions?""]"
qproto_015_approval_lookup,"approval_lookup(amount_threshold, transaction_type)",approval_lookup,"[""amount_threshold"", ""transaction_type""]","[""amount_threshold"", ""approver""]","[""approver"", ""condition"", ""source""]",5,4,"[""Who approves transactions over $ 707,299?"", ""Who approves transactions over $20,000?"", ""Who approves transactions over $100,000?"", ""Who approves purchases over $2,000?"", ""Who approves expenses over $2,500?"", ""Who approves expenses over $500?""]"
qproto_016_escalation_lookup,escalation_lookup(trigger),escalation_lookup,"[""trigger""]","[""escalation_target""]","[""escalation_target"", ""trigger"", ""source""]",4,3,"[""Who is the escalation contact if the SLA is missed?""]"
qproto_017_approval_lookup,"approval_lookup(amount_threshold, region, transaction_type)",approval_lookup,"[""amount_threshold"", ""region"", ""transaction_type""]","[""amount_threshold"", ""approver"", ""region""]","[""approver"", ""condition"", ""source""]",1,1,"[""Who approves purchases over $10,000 in India?"", ""Who approves purchases over $25,000 in United States?"", ""Who approves purchases over $50,000 in any region?""]"
