query,matched_prototype_id,class_id,selected_tree_id,nodes_visited,context_tokens_loaded,traversal_path
What was revenue?,qproto_002_metric_lookup,class_003,tree_frag_00004_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What rule applies to These APMs?,qproto_003_rule_lookup,class_001,tree_frag_00005_v1,2,40,"[""root"", ""h0_0""]"
What was Revenue?,qproto_002_metric_lookup,class_003,tree_frag_00006_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00025_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00027_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00028_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
"What is the threshold of $2,046,000 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00029_v1,2,40,"[""root"", ""h0_0""]"
"What is the threshold of $1,400,000 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00034_v1,2,40,"[""root"", ""h0_0""]"
"What is the threshold of $1,792,000 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00037_v1,2,40,"[""root"", ""h0_0""]"
What rule applies to Participants?,qproto_003_rule_lookup,class_001,tree_frag_00041_v1,2,40,"[""root"", ""h0_0""]"
"What is the threshold of $62,028,117 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00043_v1,2,40,"[""root"", ""h0_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00047_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What is the threshold of $29.66 and what condition applies?,qproto_001_threshold_lookup,class_005,tree_frag_00048_v1,2,40,"[""root"", ""h0_0""]"
What is the threshold of $29.66 and what condition applies?,qproto_001_threshold_lookup,class_005,tree_frag_00049_v1,2,40,"[""root"", ""h0_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00066_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What rule applies to Significant management judgment?,qproto_003_rule_lookup,class_001,tree_frag_00071_v1,2,40,"[""root"", ""h0_0""]"
What rule applies to Although we believe our underlying assu…?,qproto_003_rule_lookup,class_001,tree_frag_00072_v1,2,40,"[""root"", ""h0_0""]"
What was forecast?,qproto_002_metric_lookup,class_003,tree_frag_00072_v1,4,80,"[""root"", ""hg1"", ""hg1_metric_0"", ""hg1_value_0""]"
"What is the threshold of $ 1,264 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00084_v1,2,40,"[""root"", ""h0_0""]"
When did this document become effective?,qproto_007_effective_date_lookup,class_001,tree_frag_00084_v1,2,40,"[""root"", ""h1_0""]"
"What is the threshold of $40,000 and what condition applies?",qproto_001_threshold_lookup,class_005,tree_frag_00085_v1,2,40,"[""root"", ""h0_0""]"
"What is the threshold of $64,000 in Global and what condition applies?",qproto_008_threshold_lookup,class_005,tree_frag_00092_v1,4,80,"[""root"", ""i0"", ""i0_region_0"", ""i0_amount_threshold_0""]"
What was Revenue?,qproto_002_metric_lookup,class_003,tree_frag_00092_v1,4,80,"[""root"", ""i1"", ""i1_metric_0"", ""i1_value_0""]"
What was revenue?,qproto_002_metric_lookup,class_003,tree_frag_00099_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What was revenue?,qproto_002_metric_lookup,class_003,tree_frag_00104_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
When did this document become effective?,qproto_007_effective_date_lookup,class_001,tree_frag_00110_v1,2,40,"[""root"", ""h0_0""]"
What was Revenue?,qproto_002_metric_lookup,class_003,tree_frag_00125_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What rule applies to the subject?,qproto_003_rule_lookup,class_001,tree_frag_00129_v1,2,40,"[""root"", ""h0_0""]"
What rule applies to the subject?,qproto_003_rule_lookup,class_001,tree_frag_00131_v1,2,40,"[""root"", ""h0_0""]"
What was operating expenses?,qproto_002_metric_lookup,class_003,tree_frag_00131_v1,4,80,"[""root"", ""hg1"", ""hg1_metric_0"", ""hg1_value_0""]"
What rule applies to the subject?,qproto_003_rule_lookup,class_001,tree_frag_00133_v1,2,40,"[""root"", ""h0_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00137_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What was revenue?,qproto_002_metric_lookup,class_003,tree_frag_00137_v1,4,80,"[""root"", ""i1"", ""i1_metric_0"", ""i1_value_0""]"
What is the exception to this rule?,qproto_004_exception_lookup,class_001,tree_frag_00139_v1,4,80,"[""root"", ""i0"", ""i0_exception_0"", ""i0_condition_0""]"
What is the threshold of $2.00 and what condition applies?,qproto_001_threshold_lookup,class_005,tree_frag_00140_v1,2,40,"[""root"", ""h0_0""]"
What drove the variance and by how much?,qproto_005_variance_explanation,class_004,tree_frag_00150_v1,4,80,"[""root"", ""i0"", ""i0_variance_0"", ""i0_variance_driver_0""]"
What drove the variance and by how much?,qproto_005_variance_explanation,class_004,tree_frag_00157_v1,2,40,"[""root"", ""h0_0""]"
What was Gross margin?,qproto_002_metric_lookup,class_003,tree_frag_00160_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What was Gross margin?,qproto_002_metric_lookup,class_003,tree_frag_00164_v1,4,80,"[""root"", ""i0"", ""i0_metric_0"", ""i0_value_0""]"
What drove the variance and by how much?,qproto_005_variance_explanation,class_004,tree_frag_00164_v1,4,80,"[""root"", ""i1"", ""i1_variance_0"", ""i1_variance_driver_0""]"
