evidence_id,fragment_id,document_id,role,value,source_span,confidence,linked_question_prototypes
ev_00001,frag_00004,doc_0001,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00002,frag_00004,doc_0001,value,$4.3,$4.3,0.76,"[""qproto_002_metric_lookup""]"
ev_00003,frag_00005,doc_0001,rule,These APMs are not defined under IFRS and therefore may not be directly compara…,These APMs are not defined under IFRS and therefore may not be directly comparable with similarly identified measures u…,0.589,"[""qproto_003_rule_lookup""]"
ev_00004,frag_00006,doc_0001,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00005,frag_00006,doc_0001,value,2019 %,2019 %,0.76,"[""qproto_002_metric_lookup""]"
ev_00006,frag_00025,doc_0005,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00007,frag_00025,doc_0005,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00008,frag_00027,doc_0005,exception,the potential common shares are anti-dilutive,the potential common shares are anti-dilutive,0.684,"[""qproto_004_exception_lookup""]"
ev_00009,frag_00027,doc_0005,condition,the potential common shares are anti-dilutive,the potential common shares are anti-dilutive,0.684,"[""qproto_004_exception_lookup""]"
ev_00010,frag_00028,doc_0005,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00011,frag_00028,doc_0005,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00012,frag_00029,doc_0007,amount_threshold,"$2,046,000","$2,046,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00013,frag_00034,doc_0007,amount_threshold,"$1,400,000","$1,400,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00014,frag_00037,doc_0007,amount_threshold,"$1,792,000","$1,792,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00015,frag_00041,doc_0009,rule,Participants are required to meet a service condition and other performance mea…,Participants are required to meet a service condition and other performance measures to gain access to the performance …,0.589,"[""qproto_003_rule_lookup""]"
ev_00016,frag_00043,doc_0009,amount_threshold,"$62,028,117","$62,028,117",0.741,"[""qproto_001_threshold_lookup""]"
ev_00017,frag_00047,doc_0009,exception,where forfeiture is due to failure to achieve market-based performance conditio…,"EPS, sales per trading SQM, ROFE) and service conditions and retention rights is calculated using a Black-Scholes optio…",0.684,"[""qproto_004_exception_lookup""]"
ev_00018,frag_00047,doc_0009,condition,where forfeiture is due to failure to achieve market-based …,"EPS, sales per trading SQM, ROFE) and service conditions and retention rights is calculated using a Black-Scholes optio…",0.684,"[""qproto_004_exception_lookup""]"
ev_00019,frag_00048,doc_0009,amount_threshold,$29.66,$29.66,0.741,"[""qproto_001_threshold_lookup""]"
ev_00020,frag_00049,doc_0009,amount_threshold,$29.66,$29.66,0.741,"[""qproto_001_threshold_lookup""]"
ev_00021,frag_00066,doc_0011,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00022,frag_00066,doc_0011,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00023,frag_00071,doc_0013,rule,Significant management judgment is required in the forecast of future operating…,Significant management judgment is required in the forecast of future operating results that are used in our impairment…,0.589,"[""qproto_003_rule_lookup""]"
ev_00024,frag_00072,doc_0013,rule,Although we believe our underlying assumptions supporting these assessments are…,"Although we believe our underlying assumptions supporting these assessments are reasonable, if our forecasted sales and…",0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00025,frag_00072,doc_0013,metric,forecast,forecast,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00026,frag_00072,doc_0013,value,$3.4,$3.4,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00027,frag_00084,doc_0019,amount_threshold,"$ 1,264","$ 1,264",0.741,"[""qproto_001_threshold_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00028,frag_00084,doc_0019,effective_date,"April 30, 2019","April 30, 2019",0.807,"[""qproto_001_threshold_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00029,frag_00085,doc_0019,amount_threshold,"$40,000","$40,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00030,frag_00092,doc_0019,region,Global,Global,0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00031,frag_00092,doc_0019,amount_threshold,"$64,000","$64,000",0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00032,frag_00092,doc_0019,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00033,frag_00092,doc_0019,value,"$64,000","$64,000",0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00034,frag_00099,doc_0021,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00035,frag_00099,doc_0021,value,13%,13%,0.76,"[""qproto_002_metric_lookup""]"
ev_00036,frag_00104,doc_0021,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00037,frag_00104,doc_0021,value,"$154,585,000,","$154,585,000,",0.76,"[""qproto_002_metric_lookup""]"
ev_00038,frag_00110,doc_0023,effective_date,"January 3, 2020","January 3, 2020",0.807,"[""qproto_007_effective_date_lookup""]"
ev_00039,frag_00125,doc_0025,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00040,frag_00125,doc_0025,value,8 %,8 %,0.76,"[""qproto_002_metric_lookup""]"
ev_00041,frag_00129,doc_0027,rule,"These statements may be identified by the use of words such as ""may,"" ""could,"" …","These statements may be identified by the use of words such as ""may,"" ""could,"" ""believe,"" ""future,"" ""depend,"" ""expect,""…",0.589,"[""qproto_003_rule_lookup""]"
ev_00042,frag_00131,doc_0027,rule,"Results of Operations Comparison of Year Ended December 31, 2019 to Year Ended …","Results of Operations Comparison of Year Ended December 31, 2019 to Year Ended December 31, 2018 (in 000’s) December 31…",0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00043,frag_00131,doc_0027,metric,operating expenses,operating expenses,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
